"Chiffres clés     -     Caractéristiques des établissements","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Arrondissements municipaux","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mise en ligne le 29/09/2015       Découpage géographique au 01/01/2013","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"©Insee       Sources : Insee, Clap","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CODGEO","Libellé commune ou ARM","Région","Région 2016","Département","Total Ets actifs au 31/12/2013","Ets actifs agriculture au 31/12/2013","Ets actifs industrie au 31/12/2013","Ets actifs construction au 31/12/2013","Ets actifs commerce services au 31/12/2013","dont Ets actifs commerce rep auto au 31/12/2013","Ets actifs adm publique au 31/12/2013","Ets actifs sans salarié au 31/12/2013","Ets actifs agriculture sans salarié au 31/12/2013","Ets actifs industrie sans salarié au 31/12/2013","Ets actifs construction sans salarié au 31/12/2013","Ets actifs commerce services sans salarié au 31/12/2013","dont Ets actifs commerce rep auto sans salarié au 31/12/2013","Ets actifs adm publique sans salarié au 31/12/2013","Ets actifs de 1 à 9 salariés au 31/12/2013","Ets actifs agriculture 1 à 9 salariés au 31/12/2013","Ets actifs industrie 1 à 9 salariés au 31/12/2013","Ets actifs construction 1 à 9 sal au 31/12/2013","Ets actifs commerce services 1 à 9 salariés au 31/12/2013","dont Ets actifs commerce rep auto 1 à 9 salariés au 31/12/2013","Ets actifs adm publique 1 à 9 salariés au 31/12/2013","Ets actifs de 10 à 19 salariés au 31/12/2013","Ets actifs agriculture 10 à 19 sal au 31/12/2013","Ets actifs industrie 10 à 19 sal au 31/12/2013","Ets actifs construction 10 à 19 sal au 31/12/2013","Ets actifs commerce services 10 à 19 salariés au 31/12/2013","dont Ets actifs commerce rep auto 10 à 19 salariés au 31/12/2013","Ets actifs adm publique 10 à 19 salariés au 31/12/2013","Ets actifs de 20 à 49 salariés au 31/12/2013","Ets actifs agriculture 20 à 49 sal au 31/12/2013","Ets actifs industrie 20 à 49 sal au 31/12/2013","Ets actifs construction 20 à 49 sal au 31/12/2013","Ets actifs commerce services 20 à 49 salariés au 31/12/2013","dont Ets actifs commerce rep auto 20 à 49 salariés au 31/12/2013","Ets actifs adm publique 20 à 49 salariés au 31/12/2013","Ets actifs de 50 salariés ou plus au 31/12/2013","Ets actifs agriculture 50 sal ou plus au 31/12/2013","Ets actifs industrie 50 sal ou plus au 31/12/2013","Ets actifs construction 50 sal ou + au 31/12/2013","Ets actifs commerce services 50 sal ou plus au 31/12/2013","dont Ets actifs commerce 50 rep auto sal ou plus au 31/12/2013","Ets actifs adm publique 50 sal ou plus au 31/12/2013","Postes des Ets actifs au 31/12/2013","Postes des Ets actifs agriculture au 31/12/2013","Postes des Ets actifs de l'industrie au 31/12/2013","Postes des Ets actifs de la construction au 31/12/2013","Postes des Ets actifs du commerce services au 31/12/2013","dont Postes des Ets actifs du commerce rep auto au 31/12/2013","Postes des Ets actifs adm publique au 31/12/2013","Postes des Ets actifs de 1 à 9 salariés au 31/12/2013","Postes des Ets actifs agriculture 1 à 9 salariés au 31/12/2013","Postes des Ets actifs industrie 1 à 9 salariés au 31/12/2013","Postes des Ets actifs construction 1 à 9 sal au 31/12/2013","Postes des Ets actifs commerce services 1 à 9 sal au 31/12/2013","dont Postes des Ets actifs commerce rep auto 1 à 9 salariés au 31/12/2013","Postes des Ets actifs adm publique 1 à 9 salariés au 31/12/2013","Postes des Ets actifs de 10 à 19 salariés au 31/12/2013","Postes des Ets actifs agriculture 10 à 19 salariés au 31/12/2013","Postes des Ets actifs industrie 10 à 19 sal au 31/12/2013","Postes des Ets actifs construction 10 à 19 sal au 31/12/2013","Postes des Ets actifs commerce services 10 à 19 salariés au 31/12/2013","dont Postes des Ets actifs commerce rep auto 10 à 19 salariés au 31/12/2013","Postes des Ets actifs adm publique 10 à 19 sal au 31/12/2013","Postes des Ets actifs de 20 à 49 salariés au 31/12/2013","Postes des Ets actifs agriculture 20 à 49 salariés au 31/12/2013","Postes des Ets actifs industrie 20 à 49 sal au 31/12/2013","Postes des Ets actifs construction 20 à 49 sal au 31/12/2013","Postes des Ets actifs commerce services 20 à 49 salariés au 31/12/2013","dont Postes des Ets actifs commerce rep auto 20 à 49 salariés au 31/12/2013","Postes des Ets actifs adm publique 20 à 49 sal au 31/12/2013","Postes des Ets actifs de 50 à 99 salariés au 31/12/2013","Postes des Ets actifs agriculture 50 à 99 salariés au 31/12/2013","Postes des Ets actifs industrie 50 à 99 sal au 31/12/2013","Postes des Ets actifs construction 50 à 99 sal au 31/12/2013","Postes des Ets actifs commerce services 50 à 99 sal au 31/12/2013","dont Postes des Ets actifs commerce rep auto 50 à 99 sal au 31/12/2013","Postes des Ets actifs adm publique 50 à 99 sal au 31/12/2013","Postes des Ets actifs de 100 salariés ou plus au 31/12/2013","Postes des Ets actifs agriculture 100 sal ou + au 31/12/2013","Postes des Ets actifs industrie 100 sal ou + au 31/12/2013","Postes des Ets actifs construction 100 sal ou + au 31/12/2013","Postes des Ets actifs commerce services 100 sal ou + au 31/12/2013","dont Postes des Ets actifs commerce rep auto 100 sal ou + au 31/12/2013","Postes des Ets actifs adm publique 100 sal ou + au 31/12/2013","Ets actifs sphère présentielle au 31/12/2013","Ets actifs sphère productive au 31/12/2013","Ets actifs sphère présentielle public au 31/12/2013","Ets actifs sphère productive public au 31/12/2013","Postes Ets actifs sphère présentielle au 31/12/2013","Postes Ets actifs sphère productive au 31/12/2013","Postes Ets actifs sphère présentielle public au 31/12/2013","Postes Ets actifs sphère productive public au 31/12/2013"
"13210","Marseille 10e Arrondissement","93","93","13","3837","5","137","464","2391","713","840","2835","5","72","356","1717","454","685","782","0","49","90","566","210","77","108","0","4","8","58","26","38","58","0","10","4","26","15","18","54","0","2","6","24","8","22","12670","0","770","1325","6104","2600","4471","2202","0","174","257","1567","706","204","1492","0","54","116","763","343","559","1778","0","331","130","771","430","546","1851","0","51","51","897","351","852","5347","0","160","771","2106","770","2310","2691","1146","62","0","9634","3036","2413","0"
"13211","Marseille 11e Arrondissement","93","93","13","4616","22","204","647","2960","943","783","3190","19","111","447","1991","520","622","1083","3","60","172","772","330","76","178","0","16","15","110","59","37","111","0","12","11","65","23","23","54","0","5","2","22","11","25","15914","3","1536","1254","8950","4070","4171","3503","3","217","513","2523","1257","247","2367","0","212","207","1407","744","541","3408","0","375","316","1952","707","765","2027","0","124","0","663","340","1240","4609","0","608","218","2405","1022","1378","3098","1518","62","0","10908","5006","1739","0"
"13212","Marseille 12e Arrondissement","93","93","13","4787","11","180","481","2995","775","1120","3589","7","109","358","2223","504","892","997","4","58","108","688","240","139","107","0","8","9","53","20","37","44","0","3","4","16","5","21","50","0","2","2","15","6","31","11823","14","524","716","5154","1673","5415","2814","14","210","306","1883","731","401","1441","0","96","116","679","275","550","1278","0","84","134","433","151","627","1943","0","134","57","464","274","1288","4347","0","0","103","1695","242","2549","3216","1571","76","1","9669","2154","2305","0"
"13213","Marseille 13e Arrondissement","93","93","13","5160","18","215","696","3155","857","1076","3905","17","133","529","2405","643","821","979","1","68","150","650","190","110","135","0","7","10","48","14","70","76","0","3","6","33","7","34","65","0","4","1","19","3","41","20330","1","766","805","6618","1269","12140","2797","1","221","375","1915","592","285","1889","0","96","125","628","182","1040","2347","0","88","203","1006","203","1050","2599","0","212","0","641","163","1746","10698","0","149","102","2428","129","8019","3626","1534","127","9","17152","3178","9307","42"
"13214","Marseille 14e Arrondissement","93","93","13","4177","8","198","604","2527","849","840","2729","7","94","362","1618","484","648","1111","1","73","207","732","296","98","154","0","10","26","82","35","36","129","0","13","9","71","26","36","54","0","8","0","24","8","22","17819","1","2278","1247","8226","3415","6067","3430","1","265","652","2198","1058","314","2162","0","132","364","1139","447","527","3946","0","442","231","2150","769","1123","2129","0","211","0","945","219","973","6152","0","1228","0","1794","922","3130","2702","1475","80","0","10842","6977","3306","0"
"13215","Marseille 15e Arrondissement","93","93","13","5469","13","285","900","3408","1172","863","3697","13","130","629","2283","731","642","1412","0","115","241","945","389","111","197","0","22","13","109","38","53","95","0","5","12","45","10","33","68","0","13","5","26","4","24","22679","0","2810","2047","8606","2496","9216","4152","0","410","672","2726","1190","344","2709","0","301","157","1445","488","806","2736","0","178","357","1321","296","880","2799","0","418","92","1250","218","1039","10283","0","1503","769","1864","304","6147","3623","1846","125","3","15047","7632","7813","18"
"13216","Marseille 16e Arrondissement","93","93","13","3092","15","130","400","2149","527","398","1994","14","66","259","1351","327","304","825","1","41","107","623","166","53","143","0","12","18","96","23","17","83","0","6","11","53","8","13","47","0","5","5","26","3","11","12715","3","823","1497","8698","1791","1694","2639","3","140","318","2024","572","154","1989","0","165","240","1318","320","266","2561","0","187","338","1680","250","356","2037","0","331","242","836","51","628","3489","0","0","359","2840","598","290","1623","1469","30","1","6113","6602","746","2"
"69381","Lyon 1er Arrondissement","82","84","69","5699","6","273","145","4544","667","731","4250","6","205","128","3328","399","583","1244","0","58","16","1086","255","84","123","0","4","1","88","12","30","52","0","5","0","33","1","14","30","0","1","0","9","0","20","13172","0","416","56","6630","907","6070","3646","0","187","45","3079","715","335","1618","0","57","11","1132","168","418","1472","0","121","0","909","24","442","981","0","51","0","169","0","761","5455","0","0","0","1341","0","4114","3333","2366","51","0","10866","2306","5021","0"
"69382","Lyon 2e Arrondissement","82","84","69","8673","7","255","288","7135","1644","988","5408","7","149","235","4267","630","750","2679","0","85","42","2406","921","146","329","0","15","4","271","59","39","174","0","4","3","139","24","28","83","0","2","4","52","10","25","40091","0","947","824","23832","5473","14488","8320","0","286","144","7467","2947","423","4367","0","182","64","3570","771","551","5325","0","99","108","4237","696","881","3123","0","0","74","2080","479","969","18956","0","380","434","6478","580","11664","4983","3690","80","4","32906","7185","12418","4"
"69383","Lyon 3e Arrondissement","82","84","69","14098","16","425","774","10942","1820","1941","9873","11","270","642","7477","1038","1473","3192","4","113","110","2740","638","225","468","0","13","11","352","88","92","335","1","8","9","234","40","83","230","0","21","2","139","16","68","76417","52","4107","812","43786","7407","27660","9589","8","379","276","8174","2134","752","6263","0","180","141","4684","1181","1258","10301","44","242","260","7239","1232","2516","8467","0","673","135","5289","668","2370","41797","0","2633","0","18400","2192","20764","7458","6640","212","4","55113","21304","21409","75"
"69384","Lyon 4e Arrondissement","82","84","69","4366","11","229","178","3240","584","708","3356","11","173","138","2443","349","591","886","0","45","36","737","225","68","66","0","7","2","41","4","16","43","0","2","2","15","5","24","15","0","2","0","4","1","9","9257","0","917","192","3375","1124","4773","2397","0","172","104","1897","612","224","888","0","82","33","554","52","219","1286","0","66","55","414","136","751","590","0","70","0","186","0","334","4096","0","527","0","324","324","3245","2567","1799","44","0","7630","1627","3989","0"
"69385","Lyon 5e Arrondissement","82","84","69","4306","3","165","237","3170","493","731","3246","3","125","179","2376","363","563","885","0","36","47","722","126","80","90","0","3","5","50","1","32","44","0","1","3","17","3","23","41","0","0","3","5","0","33","10874","0","187","1001","3839","418","5847","2387","0","135","134","1850","317","268","1250","0","32","71","700","12","447","1335","0","20","97","518","89","700","1684","0","0","88","172","0","1424","4218","0","0","611","599","0","3008","2637","1669","79","2","9861","1013","3460","15"
"69386","Lyon 6e Arrondissement","82","84","69","10745","17","281","496","8545","1303","1406","7461","16","162","383","5823","762","1077","2768","1","98","103","2337","510","229","255","0","10","7","196","20","42","155","0","1","1","121","9","32","106","0","10","2","68","2","26","31311","1","4022","568","21112","2056","5608","7511","1","333","315","6236","1391","626","3461","0","130","85","2648","269","598","4703","0","22","30","3688","257","963","3767","0","189","138","2623","139","817","11869","0","3348","0","5917","0","2604","5630","5115","68","0","17618","13693","2984","0"
